Temp,scan1(subtrac buffer),scan2,scan3
89.00055,-0.01505,-0.0359,-0.06711
89.2072,-0.01493,-0.03575,-0.06667
89.41147,-0.01486,-0.03555,-0.06625
89.62032,-0.01477,-0.03541,-0.06581
89.83166,-0.0148,-0.03524,-0.06537
90.03993,-0.01476,-0.03509,-0.06487
90.24845,-0.01466,-0.03494,-0.06442
90.45588,-0.01458,-0.03473,-0.06397
90.66267,-0.01443,-0.03453,-0.06356
90.8704,-0.01434,-0.0343,-0.06316
91.08005,-0.01422,-0.03411,-0.06274
91.29155,-0.01416,-0.03392,-0.0623
91.49959,-0.0141,-0.0337,-0.06185
91.70658,-0.01397,-0.03351,-0.06142
91.91425,-0.01393,-0.03328,-0.06097
92.12265,-0.0138,-0.03314,-0.06046
92.33051,-0.01371,-0.03285,-0.05996
92.53842,-0.01364,-0.03264,-0.05959
92.74775,-0.01353,-0.03241,-0.05915
92.95709,-0.01349,-0.03222,-0.05868
93.16,-0.01338,-0.03205,-0.05826
93.36346,-0.0133,-0.0318,-0.05785
93.5717,-0.01319,-0.03158,-0.05742
93.78064,-0.01314,-0.03132,-0.05699
93.98789,-0.01303,-0.03118,-0.05658
94.19671,-0.013,-0.03099,-0.05614
94.40445,-0.01286,-0.03085,-0.0557
94.61195,-0.0128,-0.03071,-0.05526
94.82289,-0.01265,-0.03057,-0.05484
95.03312,-0.01263,-0.03036,-0.05439
95.24118,-0.01251,-0.03029,-0.05397
95.44906,-0.01248,-0.03013,-0.05362
95.6579,-0.01234,-0.02994,-0.05325
95.86551,-0.01223,-0.02976,-0.0529
96.07353,-0.01219,-0.02956,-0.05252
96.28226,-0.0121,-0.02939,-0.05215
96.48867,-0.01206,-0.02919,-0.05179
96.69709,-0.01199,-0.02896,-0.05147
96.90526,-0.01193,-0.02873,-0.05114
97.11204,-0.01182,-0.02854,-0.05077
97.31561,-0.01177,-0.0283,-0.05044
97.52499,-0.01169,-0.02809,-0.05007
97.73371,-0.01158,-0.02794,-0.04975
97.94144,-0.01152,-0.02767,-0.04944
98.14937,-0.01141,-0.02744,-0.0491
98.3577,-0.01133,-0.02717,-0.04876
98.56648,-0.01124,-0.02693,-0.0484
98.77449,-0.01121,-0.02664,-0.048
98.98382,-0.01105,-0.02649,-0.04768
99.19332,-0.01096,-0.02626,-0.04736
99.40244,-0.01081,-0.02608,-0.047
99.60998,-0.01075,-0.0258,-0.04665
